Date,Amount,Description
15-Jan-2023,+50000,Salary Credit
20-Jan-2023,-25000,Investment
5-Feb-2023,+15000,Dividend Received
10-Feb-2023,-8000,Monthly Expense
15-Feb-2023,+75000,Salary Credit
20-Feb-2023,-30000,Investment
5-Mar-2023,+12000,Dividend Received
10-Mar-2023,-9000,Monthly Expense
15-Mar-2023,+52000,Salary Credit
20-Mar-2023,-28000,Investment
1-Apr-2023,+25000,Bonus
5-Apr-2023,+8500,Dividend Received
10-Apr-2023,-7500,Monthly Expense
15-Apr-2023,+48000,Salary Credit
20-Apr-2023,-32000,Investment
